line: Dostlerstraße - Freimann
valid from: 16.03.2015
===> Dostlerstraße
Freimann / Auslieferung;48.177183;11.560138;07:34;07:54;08:14;08:34;08:54;09:14;09:34;09:54;10:14;10:34;10:54;11:14;11:34;11:54;12:14;12:34;12:54;13:14;13:34;13:54;14:14;14:34;14:54;15:14;15:34;15:54;16:14;16:34;16:54;17:14;
Lilienthalallee 32;48.195636;11.609449;07:35;07:55;08:15;08:35;08:55;09:15;09:35;09:55;10:15;10:35;10:55;11:15;11:35;11:55;12:15;12:35;12:55;13:15;13:35;13:55;14:15;14:35;14:55;15:15;15:35;15:55;16:15;16:35;16:55;17:15;
Heidemannstraße 164;48.199901;11.602019;07:38;07:58;08:18;08:38;08:58;09:18;09:38;09:58;10:18;10:38;10:58;11:18;11:38;11:58;12:18;12:38;12:58;13:18;13:38;13:58;14:18;14:38;14:58;15:18;15:38;15:58;16:18;16:38;16:58;17:18;
Paul-Hindemith-Allee (MVG);48.200704;11.605335;07:39;07:59;08:19;08:39;08:59;09:19;09:39;09:59;10:19;10:39;10:59;11:19;11:39;11:59;12:19;12:39;12:59;13:19;13:39;13:59;14:19;14:39;14:59;15:19;15:39;15:59;16:19;16:39;16:59;17:19;
Anton-Ditt-Bogen;48.190869;11.581334;07:45;08:05;08:25;08:45;09:05;09:25;09:45;10:05;10:25;10:45;11:05;11:25;11:45;12:05;12:25;12:45;13:05;13:25;13:45;14:05;14:25;14:45;15:05;15:25;15:45;16:05;16:25;16:45;17:05;17:25;
Hufelandstraße;48.1923215;11.5748429;07:47;08:07;08:27;08:47;09:07;09:27;09:47;10:07;10:27;10:47;11:07;11:27;11:47;12:07;12:27;12:47;13:07;13:27;13:47;14:07;14:27;14:47;15:07;15:27;15:47;16:07;16:27;16:47;17:07;17:27;
FIZ / Projekthaus;48.193485;11.56996;07:50;08:10;08:30;08:50;09:10;09:30;09:50;10:10;10:30;10:50;11:10;11:30;11:50;12:10;12:30;12:50;13:10;13:30;13:50;14:10;14:30;14:50;15:10;15:30;15:50;16:10;16:30;16:50;17:10;17:30;
IT-Zentrum;48.189196;11.568373;07:53;08:13;08:33;08:53;09:13;09:33;09:53;10:13;10:33;10:53;11:13;11:33;11:53;12:13;12:33;12:53;13:13;13:33;13:53;14:13;14:33;14:53;15:13;15:33;15:53;16:13;16:33;16:53;17:13;17:33;
Anhalterplatz (MVG);48.186439;11.562207;07:57;08:17;08:37;08:57;09:17;09:37;09:57;10:17;10:37;10:57;11:17;11:37;11:57;12:17;12:37;12:57;13:17;13:37;13:57;14:17;14:37;14:57;15:17;15:37;15:57;16:17;16:37;16:57;17:17;17:37;
Riesenfeldstraße / Tor 5;48.183001;11.562896;07:58;08:18;08:38;08:58;09:18;09:38;09:58;10:18;10:38;10:58;11:18;11:38;11:58;12:18;12:38;12:58;13:18;13:38;13:58;14:18;14:38;14:58;15:18;15:38;15:58;16:18;16:38;16:58;17:18;17:38;
Dostlerstraße;48.177132;11.560039;08:00;08:20;08:40;09:00;09:20;09:40;10:00;10:20;10:40;11:00;11:20;11:40;12:00;12:20;12:40;13:00;13:20;13:40;14:00;14:20;14:40;15:00;15:20;15:40;16:00;16:20;16:40;17:00;17:20;17:40;
===> Freimann
Dostlerstraße;48.177132;11.560039;;;07:40;08:00;08:20;08:40;09:00;09:20;09:40;10:00;10:20;10:40;11:00;11:20;11:40;12:00;12:20;12:40;13:00;13:20;13:40;14:00;14:20;14:40;15:00;15:20;15:40;16:00;16:20;16:40;17:00
Riesenfeldstraße / Tor 5;48.183001;11.562896;;;07:42;08:02;08:22;08:42;09:02;09:22;09:42;10:02;10:22;10:42;11:02;11:22;11:42;12:02;12:22;12:42;13:02;13:22;13:42;14:02;14:22;14:42;15:02;15:22;15:42;16:02;16:22;16:42;17:02
Anhalterplatz (MVG);48.186439;11.562207;;;07:43;08:03;08:23;08:43;09:03;09:23;09:43;10:03;10:23;10:43;11:03;11:23;11:43;12:03;12:23;12:43;13:03;13:23;13:43;14:03;14:23;14:43;15:03;15:23;15:43;16:03;16:23;16:43;17:03
IT-Zentrum;48.189196;11.568373;;;07:47;08:07;08:27;08:47;09:07;09:27;09:47;10:07;10:27;10:47;11:07;11:27;11:47;12:07;12:27;12:47;13:07;13:27;13:47;14:07;14:27;14:47;15:07;15:27;15:47;16:07;16:27;16:47;17:07
FIZ / Projekthaus;48.193485;11.56996;;;07:50;08:10;08:30;08:50;09:10;09:30;09:50;10:10;10:30;10:50;11:10;11:30;11:50;12:10;12:30;12:50;13:10;13:30;13:50;14:10;14:30;14:50;15:10;15:30;15:50;16:10;16:30;16:50;17:10
Hufelandstraße;48.1923215;11.5748429;;;07:53;08:13;08:33;08:53;09:13;09:33;09:53;10:13;10:33;10:53;11:13;11:33;11:53;12:13;12:33;12:53;13:13;13:33;13:53;14:13;14:33;14:53;15:13;15:33;15:53;16:13;16:33;16:53;17:13
Anton-Ditt-Bogen;48.190869;11.581334;;;07:56;08:16;08:36;08:56;09:16;09:36;09:56;10:16;10:36;10:56;11:16;11:36;11:56;12:16;12:36;12:56;13:16;13:36;13:56;14:16;14:36;14:56;15:16;15:36;15:56;16:16;16:36;16:56;17:16
Paul-Hindemith-Allee (MVG);48.200704;11.605335;;;08:01;08:21;08:41;09:01;09:21;09:41;10:01;10:21;10:41;11:01;11:21;11:41;12:01;12:21;12:41;13:01;13:21;13:41;14:01;14:21;14:41;15:01;15:21;15:41;16:01;16:21;16:41;17:01;17:21
