line: Uptown - Taunusstraße
valid from: 01.09.2013
===> Taunusstraße
Uptown;0;0;;;07:44;08:04;08:24;08:44;09:04;09:24;09:44;10:04;10:24;10:44;11:04;11:24;11:44;12:04;12:24;12:44;13:04;13:24;13:44;14:04;14:24;14:44;15:04;15:24;15:44;16:04;16:24;16:44;17:04
Dostlerstraße;0;0;;;07:50;08:10;08:30;08:50;09:10;09:30;09:50;10:10;10:30;10:50;11:10;11:30;11:50;12:10;12:30;12:50;13:10;13:30;13:50;14:10;14:30;14:50;15:10;15:30;15:50;16:10;16:30;16:50;17:10
Moosacher Straße 51;0;0;;;07:54;08:14;08:34;08:54;09:14;09:34;09:54;10:14;10:34;10:54;11:14;11:34;11:54;12:14;12:34;12:54;13:14;13:34;13:54;14:14;14:34;14:54;15:14;15:34;15:54;16:14;16:34;16:54;17:14
IT-Zentrum West;0;0;;;07:59;08:19;08:39;08:59;09:19;09:39;09:59;10:19;10:39;10:59;11:19;11:39;11:59;12:19;12:39;12:59;13:19;13:39;13:59;14:19;14:39;14:59;15:19;15:39;15:59;16:19;16:39;16:59;17:19
FIZ / Projekthaus;48.193485;11.56996;;;08:02;08:22;08:42;09:02;09:22;09:42;10:02;10:22;10:42;11:02;11:22;11:42;12:02;12:22;12:42;13:02;13:22;13:42;14:02;14:22;14:42;15:02;15:22;15:42;16:02;16:22;16:42;17:02;17:22
Hufelandstraße;0;0;;;08:05;08:25;08:45;09:05;09:25;09:45;10:05;10:25;10:45;11:05;11:25;11:45;12:05;12:25;12:45;13:05;13:25;13:45;14:05;14:25;14:45;15:05;15:25;15:45;16:05;16:25;16:45;17:05;17:25
Ingoldstädter Straße (MVG);0;0;;;08:09;08:29;08:49;09:09;09:29;09:49;10:09;10:29;10:49;11:09;11:29;11:49;12:09;12:29;12:49;13:09;13:29;13:49;14:09;14:29;14:49;15:09;15:29;15:49;16:09;16:29;16:49;17:09;17:29
Taunusstraße;0;0;;;08:11;08:31;08:51;09:11;09:31;09:51;10:11;10:31;10:51;11:11;11:31;11:51;12:11;12:31;12:51;13:11;13:31;13:51;14:11;14:31;14:51;15:11;15:31;15:51;16:11;16:31;16:51;17:11;17:31
===> Uptown
Taunusstraße;0;0;;;08:11;08:31;08:51;09:11;09:31;09:51;10:11;10:31;10:51;11:11;11:31;11:51;12:11;12:31;12:51;13:11;13:31;13:51;14:11;14:31;14:51;15:11;15:31;15:51;16:11;16:31;16:51;17:11;17:31
Lauchstädter Straße;0;0;;;08:14;08:34;08:54;09:14;09:34;09:54;10:14;10:34;10:54;11:14;11:34;11:54;12:14;12:34;12:54;13:14;13:34;13:54;14:14;14:34;14:54;15:14;15:34;15:54;16:14;16:34;16:54;17:14;17:34
FIZ / Projekthaus;48.193485;11.56996;07:40;08:00;08:20;08:40;09:00;09:20;09:40;10:00;10:20;10:40;11:00;11:20;11:40;12:00;12:20;12:40;13:00;13:20;13:40;14:00;14:20;14:40;15:00;15:20;15:40;16:00;16:20;16:40;17:00;17:20;17:40
IT-Zentrum West;0;0;07:43;08:03;08:23;08:43;09:03;09:23;09:43;10:03;10:23;10:43;11:03;11:23;11:43;12:03;12:23;12:43;13:03;13:23;13:43;14:03;14:23;14:43;15:03;15:23;15:43;16:03;16:23;16:43;17:03;17:23;17:43
Moosacher Straße 51;0;0;07:48;08:08;08:28;08:48;09:08;09:28;09:48;10:08;10:28;10:48;11:08;11:28;11:48;12:08;12:28;12:48;13:08;13:28;13:48;14:08;14:28;14:48;15:08;15:28;15:48;16:08;16:28;16:48;17:08;17:28;17:48
Dostlerstraße;0;0;07:51;08:11;08:31;08:51;09:11;09:31;09:51;10:11;10:31;10:51;11:11;11:31;11:51;12:11;12:31;12:51;13:11;13:31;13:51;14:11;14:31;14:51;15:11;15:31;15:51;16:11;16:31;16:51;17:11;17:31;17:51
Uptown;0;0;07:55;08:15;08:35;08:55;09:15;09:35;09:55;10:15;10:35;10:55;11:15;11:35;11:55;12:15;12:35;12:55;13:15;13:35;13:55;14:15;14:35;14:55;15:15;15:35;15:55;16:15;16:35;16:55;17:15;17:35;17:55
